			 Škola				Cena				Efekt					% šance úspìchu									AI hodnota				Pravı klik text				
Název	Zkrácenı název	Stupeò 	Zemì 	Voda	Oheò 	Vzduch	Nic	Základní 	Lepší 	Expert	Síla kouzel 	Nic	Základní 	Lepší 	Expert	Hrad	Bašta	Vì 	Peklo	Nekropolis	Kobka	Tvrz	Pevnost	Soutok	Nic	Základní 	Lepší 	Expert	Normální 	Základní 	Lepší 	Expert	"Attributes (reference only, do not change)"
																																	
Cestovní kouzla																																	
																																	
Pøivolej loï 	Pøivolej loï 	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Pøivolej loï }

Pøivolá nejbliší volnou loï. Hrdina musí stát na bøehu a musí existovat nìjaká neobsazená loï.

Tvá šance na úspìch je 50%.
"	"{Základní pøivolej loï }

Pøivolá nejbliší volnou loï. Hrdina musí stát na bøehu a musí existovat nìjaká neobsazená loï.

Tvá šance na úspìch je 50%.
"	"{Lepší pøivolej loï }

Pøivolá nejbliší volnou loï, hrdina musí stát na bøehu. Pokud ádná loï neexistuje, je postavena nová.

Tvá šance na úspìch je 75%.
"	"{Expert pøivolej loï }

Pøivolá nejbliší volnou loï, hrdina musí stát na bøehu. Pokud ádná loï neexistuje, je postavena nová.
"	 ADV_SPELL
Potop loï 	Potop loï 	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Potop loï }

Trvale znièí jednu prázdnou vybranou loï.

Tvá šance na úspìch je 50%.
"	"{Základní Potop loï }

Trvale znièí jednu prázdnou vybranou loï.

Tvá šance na úspìch je 50%.
"	"{Lepší Potop loï }

Trvale znièí jednu prázdnou vybranou loï.

Tvá šance na úspìch je 75%.
"	"{Expert Potop loï }

Trvale znièí jednu prázdnou vybranou loï.
"	 ADV_SPELL
Vidiny	Vidiny	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Vidiny}

Dává základní informace o síle potulnıch bojovníkù, nepøátelskıch hrdinù a posádek.
"	"{Základní vidiny}

Dává základní informace o síle nepøátelskıch hrdinù a posádek.  Pokud jsou poblí potulné oddíly, dává informace o poètu a náladì bojovníkù.
"	"{Lepší vidiny}

Dává základní informace o síle nepøátelskıch posádek.  Pokud jsou poblí potulné oddíly, dává informace o poètu a náladì bojovníkù.  Umoòuje zobrazit informace o blízkém nepøátelském hrdinovi - jeho základní schopnosti a poèet a typ oddílù.
"	"{Expert vidiny}

Pokud jsou poblí potulné oddíly, dává informace o poètu a náladì bojovníkù.  Umoòuje zobrazit informace o blízkém nepøátelském hrdinovi - jeho základní schopnosti a poèet a typ oddílù. Dále poskytuje informaci o blízkém mìstì - udává poèet a typy oddílù v posádce.
"	 ADV_SPELL
Pohled zemì 	Pohled zemì 	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Pohled zemì }

Ukáe všechny suroviny na mapì i v neprozkoumané oblasti.
"	"{Základní pohled zemì }

Ukáe všechny suroviny na mapì i v neprozkoumané oblasti.
"	"Lepší pohled zemì }

Ukáe všechny suroviny a doly na mapì i v neprozkoumané oblasti.
"	"{Expert pohled zemì }

Ukáe všechny suroviny, doly a typ terénu na mapì i v neprozkoumané oblasti.
"	 ADV_SPELL
Maskování 	Maskování 	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Maskování }

Dodává nepøíteli falešné informace o oddílech tvého hrdiny.
"	"{Základní maskování }

Dodává nepøíteli falešné informace o oddílech tvého hrdiny. Všechny oddíly vypadají jako nejsilnìjší oddíl bojovníkù hrdiny, poèty bojovníkù zùstávají nezmìnìny.
"	"{Lepší maskování }

Dodává nepøíteli falešné informace o oddílech tvého hrdiny. Všechny oddíly vypadají jako nejsilnìjší oddíl bojovníkù hrdiny, poèty bojovníkù jsou nastaveny na nulu.
"	"{Expert maskování }

Dodává nepøíteli falešné informace o oddílech tvého hrdiny. Všechny oddíly vypadají jako nejsilnìjší oddíl bojovníkù, kterı hrdina je schopen postavit, poèty bojovníkù jsou nastavené na nulu.
"	 ADV_SPELL
Pohled Vzduchu	Pohled Vzduchu	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Pohled vzduchu}

Ukáe všechny artefakty na mapì i v neprozkoumané oblasti.
"	"{Základní pohled vzduchu}

Ukáe všechny artefakty na mapì i v neprozkoumané oblasti.
"	"{Lepší pohled vzduchu}

Ukáe všechny artefakty a nepøátelské hrdiny na mapì i v neprozkoumané oblasti.
"	"{Expert pohled vzduchu}

Ukáe všechny artefakty, nepøátelské hrdiny a mìsta na mapì i v neprozkoumané oblasti.
"	 ADV_SPELL
