Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Kopiník	Kopiníci	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50		0
Halapartník	Halapartníci	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30		0
Lukostøelec	Lukostøelci	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY
Elitní støelec	Elitní støelci	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Støílí 2x.	const_two_attacks | SHOOTING_ARMY
Gryf	Gryfové 	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	2x vrací úder.	DOUBLE_WIDE | FLYING_ARMY
Královský gryf	Královští gryfové 	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Vždy vrací úder.	DOUBLE_WIDE|FLYING_ARMY
 Šermíø 	 Šermíøi 	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Køižák	Køižáci	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	 Útoèí 2x.	const_two_attacks
Mnich	Mniši	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY
Fanatik	Fanatici	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Boj zblízka bez postihu.	SHOOTING_ARMY | const_no_melee_penalty
Jezdec	Jezdci	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Bonus pøi útoku s rozjezdem.	DOUBLE_WIDE | const_jousting
 Šampion	 Šampioni	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Bonus pøi útoku s rozjezdem.	DOUBLE_WIDE | const_jousting
Andìl	Andìlé 	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	Nenávidí ïábly.	FLYING_ARMY | const_raises_morale | KING_2
Archandìl	Archandìlé 	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	"+1 morálka.  Nenávidí ïábly.
Oživuje spojence."	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
Kentaur	Kentauøi	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	0	0	20	50		DOUBLE_WIDE
Kentauøí kapitán	Kentauøí kapitáni	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	0	0	20	30		DOUBLE_WIDE
Trpaslík	Trpaslíci	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20% magická odolnost.	0
Bojový trpaslík	Bojoví trpaslíci	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40% magická odolnost.	0
Lesní elf	Lesní elfové 	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY
Velký elf	Velcí elfové 	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	Støílí 2x.	SHOOTING_ARMY | const_two_attacks
Pegas	Pegasové 	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	Tlumí magii.	DOUBLE_WIDE | FLYING_ARMY
Støíbrný pegas	Støíbrní pegasové 	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	Tlumí magii.	DOUBLE_WIDE | FLYING_ARMY
Stromový strážce	Stromoví strážci	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	Pøipoutá nepøítele k zemi.	0
Stromový voják	Stromoví vojáci	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	Pøipoutá nepøítele k zemi.	0
Jednorožec	Jednorožci	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	Aura magické odolnosti.
 Šance oslepit nepøítele.	DOUBLE_WIDE
Bojový jednorožec	Bojoví jednorožci	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Aura magické odolnosti.
 Šance oslepit nepøítele.	DOUBLE_WIDE
Zelený drak	Zelení draci	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	Imunní vùèi kouzlùm 1.-3. stupnì.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Zlatý drak	Zlatí draci	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	Imunní vùèi kouzlùm 1.-4. stupnì.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Gremlin	Gremlini	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
Mistr gremlin	Mistøi gremlini	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	Støelec.	SHOOTING_ARMY
Kamenný chrliè 	Kamenní chrlièi	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY
Obsidiánový chrliè 	Obsidiánoví chrlièi	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY
Kamenný golem	Kamenní golemové 	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	Kouzla mu zpùsobí jen 50% škod.	0
 Železný golem	 Železní golemové 	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	Kouzla mu zpùsobí jen 25% škod.	0
Mág	Mágové 	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	"Boj zblízka bez postihu.
Zlevní hrdinovi cenu kouzel."	SHOOTING_ARMY | const_no_melee_penalty
Arcimág	Arcimágové 	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	"Boj zblízka bez postihu.
Zlevní hrdinovi cenu kouzel."	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
Džin	Džinové 	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	Nenávidí efríty.	FLYING_ARMY
Mistr džin	Mistøi džinové 	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	"Umí kouzlit náhodné kladné kouzlo. Nenávidí efríty."	FLYING_ARMY
Naga	Nagy	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	Nepøítel nevrací úder.	DOUBLE_WIDE
Královna nag	Královny nag	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	Nepøítel nevrací úder.	DOUBLE_WIDE
Obr	Obøi	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	Imunní vùèi kouzlùm mysli.	KING_3
Titán	Titáni	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	Boj zblízka bez postihu. Imunní mysl. Nenávidí èerné draky.	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								
																								
																								
 Ïáblík	 Ïáblíci	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
Rarášek	Rarášci	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	Vysává magickou energii z kouzel.	0
Gog	Gogové 	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY
Magog	Magogové 	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	 Útok ohnivou koulí.	SHOOTING_ARMY
Pekelný pes	Pekelní psi	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
Kerberos	Kerberové 	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	7	0	0	12	20	"3hlavý útok.
Nepøítel nevrací úder."	DOUBLE_WIDE | FLYING_ARMY
Démon	Démoni	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
Rohatý démon	Rohatí démoni	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
Satan	Satani	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
Pekelný pán	Pekelní páni	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	"Oživí mrtvé spojence na démony."	0
Efrít	Efríti	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	Imunní vùèi ohni.  Nenávidí džiny.	0
Sultán efrítù 	Sultáni efrítù 	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	Ohnivý štít. Imunní vùèi ohni. Nenávidí džiny.	0
 Ïábel	 Ïáblové 	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	-1 štìstí nepøátel. Nepøítel nevrací úder. Nenávidí andìly.	FLYING_ARMY | KING_2
Arciïábel	Arciïáblové 	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	-1 štìstí nepøátel. Nepøítel nevrací úder. Nenávidí andìly.	FLYING_ARMY | KING_2
																								
																								
																								
Kostlivec	Kostlivci	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	Nemrtvý.	IS_UNDEAD
Váleèný kostlivec	Váleèní kostlivci	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	Nemrtvý.	IS_UNDEAD
Chodící mrtvola	Chodící mrtvoly	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	Nemrtvý.	IS_UNDEAD
Zombie	Zombie	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	"Nemrtvý.
 Šance nákazy nepøítele."	IS_UNDEAD
Duch	Duchové 	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	Nemrtvý.  Regenerace.	FLYING_ARMY | IS_UNDEAD
Pøízrak	Pøízraky	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	"Nemrtvý. Regenerace. Vysává nepøíteli magickou energii."	FLYING_ARMY | IS_UNDEAD
Upír	Upíøi	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	"Nemrtvý. Nepøítel nevrací úder."	FLYING_ARMY | IS_UNDEAD
Pán upírù 	Páni upírù 	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	"Nemrtvý. Živým vysává energii. Nepøítel nevrací úder."	FLYING_ARMY | IS_UNDEAD
Lich	Lichové 	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	Nemrtvý.
  Útok smrtícím mrakem.	SHOOTING_ARMY | IS_UNDEAD
Mocný lich	Mocní lichové 	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	Nemrtvý.
 Útok smrtícím mrakem.	SHOOTING_ARMY | IS_UNDEAD
