		
Wall Section	"Hit Points (max is 3, only walls, towers, the gate, and the main building are used, unused must be 0)"	
Castle		
Drawbridge	0	
Drawbridge Rope	0	
Moat	0	
Moat Lip	0	
Back Wall	0	
Horní vìž 	2	
Horní zeï 	2	
Upper Buttress	0	
Prostøední horní zeï 	2	
Hradní bránu	2	
Prostøední dolní zeï 	2	
Lower Buttress	0	
Dolní zeï 	2	
Dolní vìž 	2	
Hlavní vìž 	2	
Keep Cvr	0	
Lower Twr Cvr	0	
Upper Twr Cvr	0	

Rampart		
Drawbridge	0	
Drawbridge Rope	0	
Moat	0	
Moat Lip	0	
Back Wall	0	
Horní vìž 	2	
Horní zeï 	2	
Upper Buttress	0	
Prostøední horní zeï 	2	
Hradní bránu	2	
Prostøední dolní zeï 	2	
Lower Buttress	0	
Dolní zeï 	2	
Dolní vìž 	2	
Hlavní vìž 	2	
Main Bldg Cvr	0	
Lower Twr Cvr	0	
Upper Twr Cvr	0	

Tower		
Drawbridge	0	
Drawbridge Rope	0	
Moat	0	
Moat Lip	0	
Back Wall	0	
Horní vìž 	2	
Horní zeï 	2	
Upper Buttress	0	
Prostøední horní zeï 	2	
Hradní bránu	2	
Prostøední dolní zeï 	2	
Lower Buttress	0	
Dolní zeï 	2	
Dolní vìž 	2	
Hlavní vìž 	2	
Main Bldg Cvr	0	
Lower Twr Cvr	0	
Upper Twr Cvr	0	

Inferno		
Drawbridge	0	
Drawbridge Rope	0
Moat	0
Moat Lip	0
Back Wall	0
Horní vìž 	2
Horní zeï 	2
Upper Buttress	0
Prostøední horní zeï 	2
Hradní bránu	2
Prostøední dolní zeï 	2
Lower Buttress	0
Dolní zeï 	2
Dolní vìž 	2
Hlavní vìž 	2
Main Bldg Cvr	0
Lower Twr Cvr	0
Upper Twr Cvr	0	

Necropolis		
Drawbridge	0	
Drawbridge Rope	0	
Moat	0	
Moat Lip	0	
Back Wall	0	
Horní vìž 	2	
Horní zeï 	2	
Upper Buttress	0	
Prostøední horní zeï 	2	
Hradní bránu	2	
Prostøední dolní zeï 	2	
Lower Buttress	0	
Dolní zeï 	2	
Dolní vìž 	2	
Hlavní vìž 	2	
Main Bldg Cvr	0	
Lower Twr Cvr	0	
Upper Twr Cvr	0	

Dungeon		
Drawbridge	0	
Drawbridge Rope	0	
Moat	0	
Moat Lip	0	
Back Wall	0	
Horní vìž 	2	
Horní zeï 	2	
Upper Buttress	0	
Prostøední horní zeï 	2	
Hradní bránu	2	
Prostøední dolní zeï 	2	
Lower Buttress	0	
Dolní zeï 	2	
Dolní vìž 	2	
Hlavní vìž 	2	
Main Bldg Cvr	0	
Lower Twr Cvr	0	
Upper Twr Cvr	0	

Stronghold		
Drawbridge	0	
Drawbridge Rope	0	
Moat	0	
Moat Lip	0	
Back Wall	0	
Horní vìž 	2	
Horní zeï 	2	
Upper Buttress	0	
Prostøední horní zeï 	2	
Hradní bránu	2	
Prostøední dolní zeï 	2	
Lower Buttress	0	
Dolní zeï 	2	
Dolní vìž 	2	
Hlavní vìž 	2	
Main Bldg Cvr	0	
Lower Twr Cvr	0	
Upper Twr Cvr	0	

Fortress		
Drawbridge	0	
Drawbridge Rope	0
Moat	0
Moat Lip	0
Back Wall	0
Horní vìž 	2
Horní zeï 	2
Upper Buttress	0
Prostøední horní zeï 	2
Hradní bránu	2
Prostøední dolní zeï 	2
Lower Buttress	0
Dolní zeï 	2
Dolní vìž 	2
Hlavní vìž 	2
Main Bldg Cvr	0
Lower Twr Cvr	0
Upper Twr Cvr	0	

Forge		
Drawbridge	0	
Drawbridge Rope	0	
Moat	0	
Moat Lip	0	
Back Wall	0	
Horní vìž 	2	
Horní zeï 	2	
Upper Buttress	0	
Prostøední horní zeï 	2	
Hradní bránu	2	
Prostøední dolní zeï 	2	
Lower Buttress	0	
Dolní zeï 	2	
Dolní vìž 	2
Hlavní vìž 	2
Main Bldg Cvr	0
Lower Twr Cvr	0
Upper Twr Cvr	0
